row0=real_env, row1=wm_teacher_forced, row2=wm_open_loop
burnin_horizon=5
t,real_action,real_reward,real_done,wm_tf_reward,wm_tf_done_prob,wm_tf_done,wm_tf_obs_min,wm_tf_obs_max,wm_tf_obs_mean,wm_tf_obs_std,wm_tf_black_frac,wm_open_action,wm_open_reward,wm_open_done_prob,wm_open_done,wm_open_obs_min,wm_open_obs_max,wm_open_obs_mean,wm_open_obs_std,wm_open_black_frac
25,left(1),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.305663,0.305476,0.276644,do(5),0.000,0.000,0,-0.057668,1.093737,0.398131,0.287414,0.222474
26,down(4),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.348552,0.324777,0.267322,down(4),0.000,0.000,0,-0.057668,1.093737,0.391794,0.296214,0.232552
27,left(1),0.000,0,0.000,0.000,0,-0.057668,1.093737,0.330207,0.321073,0.274796,do(5),0.000,0.000,0,-0.057668,1.093737,0.387704,0.296092,0.232636
28,down(4),0.000,0,0.000,0.000,0,-0.049930,1.050836,0.426864,0.325089,0.234904,down(4),0.000,0.000,0,-0.057668,1.093737,0.405194,0.305273,0.233728
29,down(4),0.000,0,0.000,0.000,0,-0.024552,1.042937,0.602987,0.238532,0.040312,do(5),0.000,0.000,0,-0.057668,1.093737,0.439450,0.311531,0.224826
30,down(4),0.000,0,0.000,0.000,0,-0.013493,0.851542,0.632641,0.210719,0.023432,right(2),0.000,0.000,0,-0.057668,1.093737,0.469589,0.313345,0.197699
31,down(4),0.000,0,0.000,0.000,0,-0.041613,1.050836,0.636050,0.214181,0.030654,do(5),0.000,0.000,0,-0.056523,1.046683,0.618041,0.216254,0.033174
32,right(2),0.000,0,0.000,0.000,0,-0.013493,0.892574,0.636338,0.207443,0.021416,right(2),0.000,0.000,0,-0.016019,0.920595,0.617314,0.206311,0.019904
33,down(4),0.000,0,0.000,0.000,0,-0.041613,1.050836,0.616594,0.229996,0.037877,left(1),0.000,0.000,0,-0.056523,1.046683,0.556304,0.269797,0.079281
34,do(5),0.000,0,1.000,0.000,0,-0.041613,1.050836,0.566737,0.258966,0.059293,down(4),0.000,0.000,0,-0.013493,0.916262,0.561955,0.252056,0.049467
35,up(3),0.000,0,0.000,0.000,0,-0.031180,0.857405,0.514518,0.276394,0.070295,do(5),0.000,0.000,0,-0.013493,0.851542,0.576706,0.241627,0.041656
36,make_wood_sword(14),1.000,0,0.000,0.000,0,-0.056523,1.050836,0.564055,0.262318,0.072730,up(3),0.000,0.000,0,-0.041613,1.050836,0.586983,0.240569,0.045771
37,left(1),0.000,0,0.000,0.000,0,-0.056523,1.046683,0.587085,0.252405,0.052574,down(4),0.000,0.000,0,-0.013493,0.851542,0.557387,0.250229,0.048963
38,up(3),0.000,0,0.000,0.000,0,-0.056523,1.050836,0.570199,0.263079,0.071051,do(5),0.000,0.000,0,-0.041613,1.050836,0.574354,0.252435,0.064584
39,down(4),-0.200,0,0.000,0.000,0,-0.013493,0.851542,0.568264,0.242514,0.036449,do(5),0.000,0.000,0,-0.013493,1.009921,0.569197,0.248927,0.040228
